,amplicon,mean,mean+2std,mean-2std,min
489,2-21231478-21231728-PGD139_APOB_42,3529.823529411765,4944.813898895088,2114.833159928442,1688
672,2-21264599-21264849-PGD139_APOB_225,3530.7860962566847,4633.360887749529,2428.2113047638404,1926
198,1-55512395-55512644-PGD139_PCSK9_46,3531.8930481283423,4606.045816152034,2457.740280104651,1723
393,19-11221245-11221511-PGD139_LDLR_26,3538.347593582888,4990.508892766859,2086.1862943989163,811
14,1-25872492-25872737-PGD139_LDLRAP1_16,3539.1604278074865,4523.3487914899,2554.9720641250733,1723
674,2-21264868-21265118-PGD139_APOB_227,3563.0748663101604,4892.9533226520925,2233.196409968228,1113
242,1-55519701-55519951-PGD139_PCSK9_90,3563.957219251337,4692.762198338475,2435.1522401641987,1979
159,1-55506131-55506380-PGD139_PCSK9_7,3582.187165775401,4719.450552005772,2444.9237795450304,1021
659,2-21262486-21262713-PGD139_APOB_212,3586.4652406417113,4581.528112422726,2591.402368860697,2518
562,2-21244643-21244910-PGD139_APOB_115,3610.8877005347595,4873.933640339922,2347.841760729597,719
375,19-11210835-11211075-PGD139_LDLR_8,3615.96256684492,4526.676581160214,2705.2485525296256,2396
604,2-21252914-21253178-PGD139_APOB_157,3649.8342245989306,5068.173764615139,2231.4946845827226,1485
441,19-45410943-45411147-PGD139_APOE_8,3658.304812834225,5108.739568759899,2207.8700569085504,1817
365,16-57017264-57017539-PGD139_CETP_34,3659.6363636363635,5376.98033236842,1942.2923949043068,451
572,2-21246395-21246644-PGD139_APOB_125,3662.2139037433153,5410.335337505734,1914.0924699808963,1879
339,16-57003537-57003787-PGD139_CETP_8,3664.139037433155,4898.465847863363,2429.8122270029467,2172
263,1-55523718-55523961-PGD139_PCSK9_111,3665.8342245989306,5354.43498059159,1977.2334686062713,613
660,2-21262600-21262810-PGD139_APOB_213,3676.0,5352.0557642069025,1999.9442357930977,2186
437,19-45409715-45409855-PGD139_APOE_4,3679.652406417112,5516.930912745269,1842.3739000889557,1778
514,2-21235786-21236034-PGD139_APOB_67,3707.9679144385027,4702.376971217459,2713.5588576595464,1585
634,2-21258069-21258314-PGD139_APOB_187,3718.48128342246,4733.871167590504,2703.091399254415,2324
387,19-11217070-11217345-PGD139_LDLR_20,3729.304812834225,5710.368747827365,1748.2408778410847,496
584,2-21248323-21248571-PGD139_APOB_137,3732.3582887700536,5092.266563623189,2372.4500139169186,2089
350,16-57007110-57007348-PGD139_CETP_19,3760.898395721925,5045.613376618539,2476.183414825311,1301
166,1-55507236-55507504-PGD139_PCSK9_14,3786.9358288770054,4856.834057681433,2717.0376000725782,1548
175,1-55508860-55508965-PGD139_PCSK9_23,3788.8877005347595,7128.210658898004,449.56474217151435,952
421,19-11233983-11234230-PGD139_LDLR_54,3799.7540106951874,5425.204252270898,2174.3037691194763,1180
39,1-25876800-25877072-PGD139_LDLRAP1_41,3801.48128342246,5141.085338907866,2461.877227937054,1549
397,19-11222131-11222405-PGD139_LDLR_30,3812.8877005347595,7017.172710080944,608.6026909885745,127
344,16-57005111-57005386-PGD139_CETP_13,3814.9893048128342,6094.279733818108,1535.69887580756,587
223,1-55516758-55516968-PGD139_PCSK9_71,3819.9358288770054,4985.873369670297,2653.998288083714,1835
395,19-11221530-11221656-PGD139_LDLR_28,3825.4545454545455,5907.651887509567,1743.2572033995239,1935
266,1-55524278-55524552-PGD139_PCSK9_114,3826.331550802139,5772.705214735325,1879.9578868689532,554
127,1-25891002-25891252-PGD139_LDLRAP1_129,3827.6417112299464,4918.323681914032,2736.9597405458608,1850
161,1-55506382-55506655-PGD139_PCSK9_9,3847.4973262032086,5378.995578837116,2315.999073569301,545
650,2-21260707-21260932-PGD139_APOB_203,3888.1497326203207,5578.3702171082205,2197.9292481324214,2425
463,2-21226891-21227140-PGD139_APOB_16,3897.1229946524063,5193.42282532118,2600.823163983632,1193
622,2-21255924-21256173-PGD139_APOB_175,3898.614973262032,5458.321550837007,2338.908395687057,2264
640,2-21259028-21259278-PGD139_APOB_193,3900.5561497326203,4797.846768798129,3003.2655306671118,2431
653,2-21261497-21261772-PGD139_APOB_206,3919.764705882353,6393.664520645501,1445.8648911192054,374
226,1-55517343-55517618-PGD139_PCSK9_74,3929.053475935829,6809.382121555867,1048.7248303157899,534
105,1-25887709-25887949-PGD139_LDLRAP1_107,3930.6898395721923,5136.0284125461185,2725.351266598266,1438
110,1-25888444-25888714-PGD139_LDLRAP1_112,3935.9679144385027,5097.616666780154,2774.319162096851,1081
455,2-21225500-21225748-PGD139_APOB_8,3948.96256684492,5201.052816932708,2696.872316757131,1625
530,2-21238473-21238684-PGD139_APOB_83,3957.2139037433153,5511.2631788083345,2403.1646286782957,2473
477,2-21229366-21229616-PGD139_APOB_30,3971.994652406417,5512.092128686454,2431.8971761263806,805
64,1-25880969-25881206-PGD139_LDLRAP1_66,3972.8021390374333,5587.771879285554,2357.8323987893123,2466
596,2-21250922-21251196-PGD139_APOB_149,4008.6791443850266,5345.396104385925,2671.962184384128,1141
407,19-11226615-11226888-PGD139_LDLR_40,4016.385026737968,5936.884985603266,2095.8850678726703,697
566,2-21245367-21245589-PGD139_APOB_119,4019.711229946524,5049.435406465603,2989.987053427445,2910
132,1-25891873-25892123-PGD139_LDLRAP1_134,4024.1978609625667,5869.956484489946,2178.4392374351874,783
606,2-21253185-21253434-PGD139_APOB_159,4051.0695187165775,5247.050351592954,2855.088685840201,2530
608,2-21253549-21253799-PGD139_APOB_161,4054.871657754011,5420.4687812319835,2689.274534276038,2000
250,1-55521587-55521843-PGD139_PCSK9_98,4061.609625668449,7281.468764050941,841.7504872859572,260
15,1-25872666-25872927-PGD139_LDLRAP1_17,4062.7593582887703,5416.156423670283,2709.3622929072576,2011
215,1-55515334-55515589-PGD139_PCSK9_63,4062.866310160428,6177.128853026557,1948.6037672942984,299
377,19-11213287-11213545-PGD139_LDLR_10,4066.8770053475937,6217.3184912581555,1916.4355194370319,1135
368,19-11199996-11200130-PGD139_LDLR_1,4084.8449197860964,6013.871274576734,2155.8185649954585,2228
180,1-55509401-55509645-PGD139_PCSK9_28,4114.545454545455,5962.536821906689,2266.5540871842213,2569
700,4-68456423-68456673-PGD139_STAP1_15,4123.68449197861,5865.578766667554,2381.7902172896656,894
56,1-25879592-25879833-PGD139_LDLRAP1_58,4138.919786096257,5796.103598827454,2481.7359733650587,2341
573,2-21246579-21246802-PGD139_APOB_126,4188.855614973262,5461.177589351648,2916.5336405948765,2871
544,2-21241555-21241820-PGD139_APOB_97,4189.090909090909,5468.376087975959,2909.8057302058587,2073
126,1-25890914-25891175-PGD139_LDLRAP1_128,4200.31550802139,6301.83535939075,2098.7956566520293,1199
71,1-25881996-25882265-PGD139_LDLRAP1_73,4240.5668449197865,5817.00776568231,2664.1259241572634,2355
